record_key,source_database,year,title,authors,journal_or_venue,doi,record_type,screening_basis,is_relevant,evidence_class,empirical_method,outcome_group,database_method,corrected_by_audit,corrected_by_spot_check
SWRD:127456,SWRD,1989,"Ethnicity, Power and Discontent: The Problem of Identity Reconstruction in a Pluralist Society","Mohan, Brij",Indian Journal of Social Work,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:122191,SWRD,1989,Mental health consultation with area social work teams.,"Fisher, Mike; Cohen, Jeffrey; Butler, Alan",Social Work & Social Sciences Review,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:83706,SWRD,1989,Swallowing your anger': A study of attempted suicide in female adolescence,Fiona Gardner,Journal of Social Work Practice,10.1080/02650538908413398,Journal Article,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:108329,SWRD,1990,A review of automated assessment.,"Nurius, Paula S.",Journal of Technology in Human Services,10.1300/J407v06n04_05,,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:2279,SWRD,1990,ATTEMPTED-SUICIDE AMONG ADOLESCENTS,"GILLILAND, D",British Journal of Social Work,,Note,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:74347,SWRD,1990,Research note: Attempted suicide among adolescents,Gilliland D.,British Journal of Social Work,,Journal Article,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:77429,SWRD,1991,Assessing an adult mental health clinic for age-related issues,Chinlund P.,Journal of Gerontological Social Work,10.1300/j083v16n03_16,Journal Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Qualitative,False,False
SWRD:79591,SWRD,1991,Counselling bereaved middle aged children: Parental suicide survivors,Dane B.,Clinical Social Work Journal,10.1007/bf00759115,Journal Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:2002,SWRD,1991,"RISK-FACTORS FOR YOUTH SUICIDE - DAVIDSON,L, LINNOLLA,M","LITTLE, M",British Journal of Social Work,,Book Review,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:121949,SWRD,1991,Suicidal tendency and multiple sclerosis.,,Health & Social Work,,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:2003,SWRD,1991,"SUICIDE-PREVENTION IN SCHOOLS - LEENAARS,A","LITTLE, M",British Journal of Social Work,,Book Review,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:54003,SWRD,1991,"YOUTH SUICIDE - ISSUES, ASSESSMENT, AND INTERVENTION - CIMBOLIC,P, JOBES,DA","PROCHASKA, JM",Families in Society,10.1177/104438949107200713,Book Review,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:238,SWRD,1992,ANNIVERSARY REACTIONS - TRAUMA REVISITED,"GABRIEL, MA",Clinical Social Work Journal,10.1007/bf00756507,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:126737,SWRD,1992,Parents of Children Who Commit Suicide as Victims of Stigma,,Social Work-Maatskaplike Werk,,Article,title_and_abstract,True,Empirical,Qualitative,Qualitative,Qualitative,False,False
SWRD:75,SWRD,1992,SEVERE BORDERLINES AND SELF PSYCHOLOGY,"DUBLIN, P",Clinical Social Work Journal,10.1007/bf00754640,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:97616,SWRD,1992,Suicide attempts among indian women in Singapore,Mehta K.,British Journal of Social Work,10.1080/21650993.1992.9755594,Journal Article,title_and_abstract,True,Empirical,Qualitative,Qualitative,Qualitative,False,False
SWRD:34445,SWRD,1993,"DIFFERENCES AMONG ADOLESCENT, YOUNG-ADULT, AND ADULT CALLERS OF SUICIDE HELP LINES","DEANDA, D; Smith, MA",Social Work,,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:34539,SWRD,1993,KOHUT TRAGIC MAN - AN EXAMPLE FROM DEATH OF A SALESMAN,"WELLEK, JS",Clinical Social Work Journal,10.1007/bf00754535,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:1072,SWRD,1993,PERSONAL HISTORY OF PSYCHOSOCIAL TRAUMA IN THE EARLY-LIFE OF SOCIAL-WORK AND BUSINESS STUDENTS,"BLACK, PN; JEFFREYS, D; HARTLEY, EK",Journal of Social Work Education,10.1080/10437797.1993.10778812,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:121828,SWRD,1993,Psychotherapy of the multi-symptom patient: An integrated object relations/self psychology mode.,"Cornett, Carlton",Psychoanalytic Social Work,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:53805,SWRD,1993,SHORT-TERM TREATMENT OF A SEVERELY SUICIDAL JAPANESE-AMERICAN CLIENT WITH SCHIZOAFFECTIVE DISORDER,"NEWHILL, CE",Families in Society,10.1177/104438949307400810,Article,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:1076,SWRD,1993,SUICIDE-PREVENTION - A CLASSROOM PRESENTATION TO ADOLESCENTS,"CIFFONE, J",Social Work,,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:25891,SWRD,1994,CHILDHOOD SUICIDE AND MYTHS SURROUNDING IT,"GREENE, DB",Social Work,,Editorial Material,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:126793,SWRD,1994,Harmful Consequences of Sexual Abuse: Myth or Reality,"Cole, J",Social Work-Maatskaplike Werk,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
