paper_id,doi,year,surname,keep_author_id,keep_name,drop_author_ids,drop_names,positions,crossref_same_surname,crossref_authors,title,refused
18821,10.15270/44-4-227,2008,van delft,14085,"van Delft, Wilfred",149731;157482,Wilfred van Delft | Wilfred van Delft,1;1;1,2,2,OUTCOME OF ADOPTIONS: HAVE COUPLES REALISED THEIR DREAM?,crossref_has_two_of_this_surname
18821,10.15270/44-4-227,2008,van delft,14086,"van Delft, Trudie",149732;157483,Trudie van Delft | Trudie van Delft,2;2;2,2,2,OUTCOME OF ADOPTIONS: HAVE COUPLES REALISED THEIR DREAM?,crossref_has_two_of_this_surname
30273,10.1093/sw/47.3.209,2002,sherraden,24963,"Sherraden, MS",3139,"SHERRADEN, M",1;3,2,3,Innovation in social policy: Collaborative policy advocacy,crossref_has_two_of_this_surname
42377,10.15270/50-1-19,2014,louw,34388,"Louw, Dap",149859;157610,Dap Louw | Dap Louw,2;2;2,2,3,PATTERNS OF CONTACT AND INVOLVEMENT BETWEEN ADOLESCENTS AND THEIR NON-RESIDENT FATHERS,crossref_has_two_of_this_surname
42377,10.15270/50-1-19,2014,louw,38908,"Louw, Anet",149860;157611,Anet Louw | Anet Louw,3;3;3,2,3,PATTERNS OF CONTACT AND INVOLVEMENT BETWEEN ADOLESCENTS AND THEIR NON-RESIDENT FATHERS,crossref_has_two_of_this_surname
42975,10.15270/50-1-18,2014,singh,39693,"Singh, Annie",149657;157408,Annie Singh | Annie Singh,1;1;1,2,2,"A REVIEW OF LEGISLATION PERTAINING TO CHILDREN, WITH PARTICULAR EMPHASIS ON PROGRAMMES OFFERED TO CHILDREN AWAITING TRIA",crossref_has_two_of_this_surname
42975,10.15270/50-1-18,2014,singh,39694,"Singh, Vanessa",149658;157409,Vanessa Singh | Vanessa Singh,2;2;2,2,2,"A REVIEW OF LEGISLATION PERTAINING TO CHILDREN, WITH PARTICULAR EMPHASIS ON PROGRAMMES OFFERED TO CHILDREN AWAITING TRIA",crossref_has_two_of_this_surname
49580,10.1093/bjsw/bcp001,2010,monnickendam,45803,"Monnickendam, M. S.",45801,"Monnickendam, M.",3;1,2,3,Social Workers Serving Poor Clients: Perceptions of Poverty and Service Policy,crossref_has_two_of_this_surname
50590,10.15270/46-3-165,2010,reyneke,12669,"Reyneke, Roelf",149995;157746,Roelf Reyneke | Roelf Reyneke,1;1;1,2,2,EVALUATING THE APPLICATION OF RESTORATIVE JUSTICE AT THE MANGAUNG ONE-STOP CHILD JUSTICE CENTRE,crossref_has_two_of_this_surname
50590,10.15270/46-3-165,2010,reyneke,149996,Mariëtte Reyneke,157747,Mariëtte Reyneke,2;2,2,2,EVALUATING THE APPLICATION OF RESTORATIVE JUSTICE AT THE MANGAUNG ONE-STOP CHILD JUSTICE CENTRE,crossref_has_two_of_this_surname
50717,10.15270/46-2-172,2010,strydom,12897,"Strydom, Corinne",149711;157462,Corinne Strydom | Corinne Strydom,1;1;1,2,3,THE ROLE OF THE SOCIAL WORKER TO EMPOWER FAMILIES IN A DEEP RURAL COMMUNITY,crossref_has_two_of_this_surname
50717,10.15270/46-2-172,2010,strydom,12902,"Strydom, Herman",149625;157376,Herman Strydom | Herman Strydom,3;3;3,2,3,THE ROLE OF THE SOCIAL WORKER TO EMPOWER FAMILIES IN A DEEP RURAL COMMUNITY,crossref_has_two_of_this_surname
73197,10.1080/2156857x.2018.1555096,2020,bulow,78060,Bülow P.H.,78219,Bülow P.,4;5,2,6,Filling the gaps? The role of voluntary organizations in supporting older people with severe mental illnesses,crossref_has_two_of_this_surname
84855,10.1300/j125v01n03_08,1994,hoefer,89171,Hoefer R.M.,81182,Hoefer R.,2;1,2,3,Geographic information systems and human services,crossref_has_two_of_this_surname
88014,10.18060/23675,2020,choi,123702,Yoon Joon Choi,149213;156964,Yoon Joon Choi | Yoon Joon Choi,6;6;6,2,10,"Gender differences in intimate partner violence victimization, help-seeking, and outcomes among college students",crossref_has_two_of_this_surname
