paper_id,doi,year,surname,keep_author_id,keep_name,drop_author_ids,drop_names,positions,crossref_same_surname,crossref_authors,title
17817,10.15270/45-2-211,2009,nel,12434,"Nel, Hanna",149622;157373,Hanna Nel | Hanna Nel,1;1;1,1,1,AN EVALUATION OF A COMMUNITY LEADERSHIP TRAINING PROGRAMME IN SOWETO
17888,10.15270/45-2-215,2009,kasiram,12057,"Kasiram, Madhu",149698;157449,Madhu Kasiram | Madhu Kasiram,2;2;2,1,2,LIVING IN FOSTER CARE AND IN A CHILDREN'S HOME: VOICES OF CHILDREN AND THEIR CAREGIVERS
17888,10.15270/45-2-215,2009,perumal,12567,"Perumal, Nevashnee",149700;157451,Nevashnee Perumal | Nevashnee Perumal,1;1;1,1,2,LIVING IN FOSTER CARE AND IN A CHILDREN'S HOME: VOICES OF CHILDREN AND THEIR CAREGIVERS
17913,10.1080/17496530902818716,2009,barton,148485,William H. Barton,156236,William H. Barton,1;1,0,1,Editorial
17932,10.15270/45-2-213,2009,raniga,12650,"Raniga, Tanusha",149697;157448,Tanusha Raniga | Tanusha Raniga,1;1;1,1,1,PERSPECTIVES OF PARENTS ON THE IMPLEMENTATION OF THE NATIONAL LIFE-SKILLS AND HIV/AIDS EDUCATION PROGRAMME IN SECONDARY 
17945,10.15270/45-1-220,2009,reyneke,12669,"Reyneke, Roelf",149995;157746,Roelf Reyneke | Roelf Reyneke,1;1;1,1,1,USING ADVENTURE TO INCREASE THE EMOTIONAL INTELLIGENCE OF THE POOR
18072,10.15270/45-2-209,2009,greeff,12898,"Greeff, Minrie",150060;157811,Minrie Greeff | Minrie Greeff,2;2;2,1,5,"EXPERIENCES OF STUDENTS, SERVICE DELIVERY ORGANISATIONS AND COMMUNITY MEMBERS OF SERVICE DELIVERY TO A DISADVANTAGED COM"
18072,10.15270/45-2-209,2009,schutte,150062,Paul J Schutte,157813;12901,"Paul J Schutte | Schutte, Paul",4;4;5,1,5,"EXPERIENCES OF STUDENTS, SERVICE DELIVERY ORGANISATIONS AND COMMUNITY MEMBERS OF SERVICE DELIVERY TO A DISADVANTAGED COM"
18072,10.15270/45-2-209,2009,strydom,12897,"Strydom, Corinne",149711;157462,Corinne Strydom | Corinne Strydom,1;1;1,1,5,"EXPERIENCES OF STUDENTS, SERVICE DELIVERY ORGANISATIONS AND COMMUNITY MEMBERS OF SERVICE DELIVERY TO A DISADVANTAGED COM"
18072,10.15270/45-2-209,2009,wessels,12899,"Wessels, Cornelia",150061;157812,Cornelia Wessels | Cornelia Wessels,3;3;3,1,5,"EXPERIENCES OF STUDENTS, SERVICE DELIVERY ORGANISATIONS AND COMMUNITY MEMBERS OF SERVICE DELIVERY TO A DISADVANTAGED COM"
18073,10.15270/45-2-216,2009,humpel,12903,"Humpel, Susan",149642;157393,Susan Humpel | Susan Humpel,2;2;2,1,2,AN EXAMINATION OF THE IMPORTANCE OF PRE-ABORTION COUNSELLING
18073,10.15270/45-2-216,2009,strydom,12902,"Strydom, Herman",149625;157376,Herman Strydom | Herman Strydom,1;1;1,1,2,AN EXAMINATION OF THE IMPORTANCE OF PRE-ABORTION COUNSELLING
18368,10.1093/bjsw/bcn020,2008,daley,148232,James G. Daley,155983,James G. Daley,1;1,0,2,Editorial
18425,10.15270/44-4-232,2008,allan,13397,"Allan, Karen",150294;158045,Karen Allan | Karen Allan,1;1;1,1,3,TOWARD MEANINGFUL CIVIC ENGAGEMENT: A CASE STUDY OF CIVIL SOCIETY PARTICIPATION IN LEGISLATIVE REFORM
18425,10.15270/44-4-232,2008,forrester,13398,"Forrester, Chris",150295;158046,Chris Forrester | Chris Forrester,2;2;2,1,3,TOWARD MEANINGFUL CIVIC ENGAGEMENT: A CASE STUDY OF CIVIL SOCIETY PARTICIPATION IN LEGISLATIVE REFORM
18425,10.15270/44-4-232,2008,pate,150296,Leila Pate,158047,Leila Pate,3;3,1,3,TOWARD MEANINGFUL CIVIC ENGAGEMENT: A CASE STUDY OF CIVIL SOCIETY PARTICIPATION IN LEGISLATIVE REFORM
18448,10.15270/44-4-233,2008,arendse,13448,"Arendse, Raelene",149915;157666,Raelene Arendse | Raelene Arendse,1;1;1,1,1,MAATSKAPLIKE WERKERS BY WELSYNSINSTANSIES SE BENUTTING VAN KOMMUNIKASIEMEDIUMS EN -HULPMIDDELS
18490,10.1080/j083v50ns1_a,2008,seibel,151335,Friedrich W. Seibel,159086,Friedrich W. Seibel,1;1,0,1,Preface
18507,10.15270/44-2-245,2008,bozalek,12578,"Bozalek, Vivienne",149634;157385,Vivienne Bozalek | Vivienne Bozalek,1;1;1,1,2,INTERPRETING USERS' EXPERIENCES OF SERVICE DELIVERY IN THE WESTERN CAPE USING A NORMATIVE FRAMEWORK
18507,10.15270/44-2-245,2008,lambert,13566,"Lambert, Wesley",149635;157386,Wesley Lambert | Wesley Lambert,2;2;2,1,2,INTERPRETING USERS' EXPERIENCES OF SERVICE DELIVERY IN THE WESTERN CAPE USING A NORMATIVE FRAMEWORK
18594,10.15270/44-2-248,2008,kasiram,12057,"Kasiram, Madhu",149698;157449,Madhu Kasiram | Madhu Kasiram,2;2;2,1,2,CHILDREN'S HOMES AND FOSTER CARE: CHALLENGING DOMINANT DISCOURSES IN SOUTH AFRICAN SOCIAL WORK PRACTICE
18594,10.15270/44-2-248,2008,perumal,12567,"Perumal, Nevashnee",149700;157451,Nevashnee Perumal | Nevashnee Perumal,1;1;1,1,2,CHILDREN'S HOMES AND FOSTER CARE: CHALLENGING DOMINANT DISCOURSES IN SOUTH AFRICAN SOCIAL WORK PRACTICE
18657,10.15270/44-1-253,2008,botha,150187,KFH Botha,157938;13864,"KFH Botha | Botha, K.",3;3;3,1,3,TOWARDS A SOCIAL NICHE ASSESSMENT INSTRUMENT
18657,10.15270/44-1-253,2008,ryke,149748,EH Ryke,157499;13862,"EH Ryke | Ryke, E.",1;1;1,1,3,TOWARDS A SOCIAL NICHE ASSESSMENT INSTRUMENT
18657,10.15270/44-1-253,2008,strydom,13863,"Strydom, H.",149650;157401,H Strydom | H Strydom,2;2;2,1,3,TOWARDS A SOCIAL NICHE ASSESSMENT INSTRUMENT
18674,10.15270/44-4-229,2008,louw,13888,"Louw, Huma",149821;157572,Huma Louw | Huma Louw,2;2;2,1,2,CONCEPTUAL RESEARCH ON THE TERM FACILITATION: REDUCING AN ELEPHANT TO CHEWABLE CHUNKS
18674,10.15270/44-4-229,2008,schenck,12755,"Schenck, Rinie",149652;157403,Rinie Schenck | Rinie Schenck,1;1;1,1,2,CONCEPTUAL RESEARCH ON THE TERM FACILITATION: REDUCING AN ELEPHANT TO CHEWABLE CHUNKS
18692,10.15270/44-2-247,2008,september,13909,"September, Roseline",150180;157931,Roseline September | Roseline September,1;1;1,1,1,A NEW CHILDREN'S ACT FOR SOUTH AFRICA: MAKING IT WORK FOR CHILDREN AND FAMILIES
18693,10.15270/44-3-235,2008,sewpaul,13110,"Sewpaul, Vishanthie",149395;157146,Vishanthie Sewpaul | Vishanthie Sewpaul,1;1;1,1,1,SOCIAL WORKERS UNITE AGAINST XENOPHOBIA: PURSUING SOCIAL WORK'S POLITICAL MANDATE
