author_id,name_as_published,full_name,family,given_full,evidence_dois,n_papers_linked,n_papers_checked,n_papers_agreeing
3,"SHERIDAN, MS","Sheridan, Mary S.",Sheridan,Mary S.,10.1177/104438947805900405|10.1300/j010v01n01_09|10.1300/j010v13n03_08,6,3,3
4,"SIEBOLD, C","Siebold, Cathy",Siebold,Cathy,10.1007/bf02189938|10.1023/a:1022970612890|10.1080/00377319209517377,3,3,3
5,"TYSON, KB","Tyson, Katherine B.",Tyson,Katherine B.,10.1177/104438948606700603,2,1,1
6,"WASOW, M","Wasow, Mona",Wasow,Mona,10.1093/hsw/20.2.159|10.1093/hsw/20.4.310-a|10.1093/sw/26.6.528-a|10.1093/sw/28.4.313|10.1093/sw/29.1.82-a,13,5,5
13,"BLANKERTZ, LE","Blankertz, Laura E.",Blankertz,Laura E.,10.1086/604083|10.1177/104438949007100701|10.1177/104973159200200402,4,3,3
15,"BROWN, A","Brown, Allan",Brown,Allan,10.1300/j009v11n01_11|10.1300/j009v13n03_04,11,2,2
19,"EPSTEIN, WM","Epstein, William M.",Epstein,William M.,10.1080/10437797.1995.10672264|10.1086/644353|10.1093/sw/35.6.571|10.1093/swr/18.1.62|10.1177/1049731504265838|10.1177/1049731505282987|10.1177/104973159200200412,13,7,7
23,"SINCLAIR, I","Sinclair, Ian",Sinclair,Ian,10.1300/j083v12n01_05,12,1,1
24,"GILLESPIE, DF","Gillespie, David F.",Gillespie,David F.,10.1080/10437797.1986.10671727|10.1080/10437797.1995.10672259|10.1086/644354|10.1093/swr/18.4.239|10.1177/104973159200200410,10,5,5
25,"KHINDUKA, S","Khinduka, Shanti",Khinduka,Shanti,10.1177/1049731502012005007|10.1177/104973159200200410,3,2,2
28,"HALL, RE","Hall, Ronald E.",Hall,Ronald E.,10.1177/104973159200200404,4,1,1
29,"HILL, M","Hill, Malcolm",Hill,Malcolm,10.1080/026505399103368,14,1,1
35,"MORONEY, RM","Moroney, Robert M.",Moroney,Robert M.,10.1093/sw/32.1.92|10.1177/104973159200200401,7,2,2
37,"LINDSEY, D","Lindsey, Duncan",Lindsey,Duncan,10.1080/10437797.1992.10778790|10.1086/603915|10.1093/sw/27.6.491|10.1093/swr/18.1.41|10.1177/104973159200200106|10.1177/104973159200200411|10.1177/104973159900900115|10.1300/j079v29n04_04|10.1300/j147v27n01_04,17,9,9
38,"LITTLE, M","Little, Michael",Little,Michael,10.1111/j.1468-2397.2005.00360.x,6,1,1
39,"LLOYD, S","Lloyd, Sally",Lloyd,Sally,10.1177/104438948306400303,5,1,1
45,"OWEN, M","Owen, Mary",Owen,Mary,10.1300/j079v25n03_03,6,1,1
46,"PARDECK, JT","Pardeck, John T.",Pardeck,John T.,10.1007/bf00753411|10.1177/104438948606701004|10.1177/104438949007100220|10.1177/104438949007100405|10.1177/104973159200200405|10.1177/104973159200200413|10.1177/104973159500500206|10.1177/104973159900900107|10.1177/104973159900900116|10.1300/j147v16n02_05,15,10,10
51,"REAMER, FG","Reamer, Frederic G.",Reamer,Frederic G.,10.1080/10437797.1991.10672193|10.1080/10437797.1992.10778752|10.1080/10437797.1992.10778766|10.1080/10437797.1992.10778778|10.1080/10437797.1993.10778793|10.1080/10437797.1993.10778808|10.1080/10437797.1993.10778819|10.1080/10437797.1994.10672207|10.1086/322225|10.1086/603754|10.1086/603805|10.1086/603860|10.1086/603882|10.1086/603902|10.1086/643512|10.1086/643548|10.1086/643728|10.1086/644083|10.1086/644143|10.1086/644516|10.1086/644590|10.1093/sw/29.3.309-a|10.1093/sw/32.3.188|10.1177/104438948306400801|10.1177/104973159200200408|10.1177/104973159800800508|10.1177/104973159900900108|10.1606/1044-3894.747,43,28,28
54,"SINGH, RN","Singh, Ram Naresh",Singh,Ram Naresh,10.1177/104438948206301004,5,1,1
55,"DELANGE, J","De Lange, Janice",De Lange,Janice,10.1093/sw/25.3.245,3,1,1
57,"TEXTOR, MR","Textor, Martin R.",Textor,Martin R.,10.1177/002087289503800406,2,1,1
60,"TRACY, EM","Tracy, Elizabeth M.",Tracy,Elizabeth M.,10.1093/sw/39.5.534|10.1093/swr/18.1.56|10.1177/104438949007100802|10.1177/104438949207300802|10.1177/104973159200200403,11,5,5
61,"BEAN, N","Bean, Nadine",Bean,Nadine,10.1177/104973159200200403|10.1300/j147v25n03_01,2,2,2
62,"GWATKIN, S","Gwatkin, Selma",Gwatkin,Selma,10.1177/104438949207300802|10.1177/104973159200200403,2,2,2
63,"HILL, B","Hill, Barbara",Hill,Barbara,10.1177/104973159200200403,1,1,1
68,"AHN, HN","Ahn, Helen Noh",Ahn,Helen Noh,10.1086/603930,1,1,1
69,"GILBERT, N","Gilbert, Neil",Gilbert,Neil,10.1086/603930|10.1086/642364|10.1086/643181|10.1086/643330|10.1086/643397|10.1086/643557|10.1086/643788|10.1086/643942|10.1093/sw/24.6.447|10.1093/sw/27.3.285-a|10.1093/sw/27.4.293|10.1093/sw/27.6.534,26,12,12
70,"BENITEZBLOCH, R","Benitez-Bloch, Rosalyn",Benitez-Bloch,Rosalyn,10.1007/bf00754645,2,1,1
72,"BLYTHE, B","Blythe, Betty",Blythe,Betty,10.1080/10437797.1992.10778779|10.1177/104973150001000210,2,2,2
73,"BONNEFIL, M","Bonnefil, Margaret",Bonnefil,Margaret,10.1007/bf00757173|10.1007/bf02027836|10.1007/bf02145674|10.1023/a:1022809915059,9,4,4
74,"BORDEN, W","Borden, William",Borden,William,10.1086/345277|10.1086/516409|10.1086/603769|10.1086/603856|10.1086/603933|10.1086/644591,11,6,6
76,"CHANDLER, SM","Chandler, Susan Meyers",Chandler,Susan Meyers,10.1093/sw/30.4.346|10.1177/104438948006100604,3,2,2
77,"CHIARAMONTE, JA","Chiaramonte, John A.",Chiaramonte,John A.,10.1007/bf01892594,2,1,1
78,"CHILMAN, CS","Chilman, Catherine S.",Chilman,Catherine S.,10.1086/603927|10.1086/604138|10.1086/643042|10.1086/643726|10.1093/sw/18.6.115-a|10.1093/sw/19.3.376|10.1093/sw/24.6.492|10.1093/sw/30.4.374-a|10.1093/sw/31.3.236|10.1177/104438947305401001|10.1177/104438947405500310|10.1177/104438947405500602|10.1300/j083v11n03_03,21,13,13
81,"CORNETT, C","Cornett, Carlton",Cornett,Carlton,10.1007/bf00754644|10.1007/bf00755042|10.1007/bf00756510|10.1007/bf02191635|10.1007/s10615-005-4951-8|10.1023/a:1005172027598|10.1023/a:1022846404295,9,7,7
82,"CULHANE, DP","Culhane, Dennis P.",Culhane,Dennis P.,10.1086/382770|10.1086/603931|10.1086/604265,3,3,3
83,"DATTALO, P","Dattalo, Patrick",Dattalo,Patrick,10.1080/10437797.1994.10672231|10.1093/sw/36.4.297|10.1300/j147v14n03_06|10.1300/j147v18n04_02|10.1300/j147v21n02_04,12,5,5
87,"DUBLIN, P","Dublin, Penny",Dublin,Penny,10.1007/bf00754640,1,1,1
90,"EVANS, PM","Evans, Patricia M.",Evans,Patricia M.,10.1086/603928,1,1,1
91,"FEIN, E","Fein, Edith",Fein,Edith,10.1086/603926|10.1086/644170|10.1093/sw/17.4.105|10.1093/sw/32.6.546|10.1177/104438948206300505|10.1177/104438948406500903|10.1177/104438948506600406|10.1177/104438948506600808|10.1177/104438948606700504|10.1177/104438949007100810|10.1177/104438949107200602,16,11,11
92,"MALUCCIO, AN","Maluccio, Anthony N.",Maluccio,Anthony N.,10.1080/10437797.1988.10671261|10.1080/10437797.1996.10778467|10.1086/324610|10.1086/514435|10.1086/515790|10.1086/603926|10.1086/604055|10.1086/642837|10.1086/643284|10.1093/sw/28.5.406|10.1093/sw/29.1.83|10.1177/104438947005100109|10.1177/104438947405500104|10.1177/104438949507601005|10.1300/j147v22n01_02,28,15,15
93,"GITTERMAN, A","Gitterman, Alex",Gitterman,Alex,10.1086/604201|10.1086/643430|10.1093/sw/28.2.127|10.1093/sw/32.6.552-a|10.1177/104438947205300503|10.1177/104438947705800206|10.1177/104438948907000306|10.1300/j009v11n01_03|10.1300/j009v12n02_02,13,9,9
94,"GLENNERSTER, H","Glennerster, Howard",Glennerster,Howard,10.1086/324609|10.1086/603937,4,2,2
