author_id,name,reason
1,"SANDS, RG",partial_agreement: Roberta G | Roberta G.
2,"NUCCIO, K",paper_has_no_doi
7,"WHITE, DJ",paper_has_no_doi
8,"WILSON, MC",orphaned_row_no_links
9,"ABRAMS, R",paper_has_no_doi
10,"BHATIA, RC",paper_has_no_doi
11,"BHATIA, A",paper_has_no_doi
12,"BISWAS, PC",paper_has_no_doi
14,"CNAAN, RA",partial_agreement: Ram A | Ram A.
16,"BURMAN, JJR",paper_has_no_doi
17,"CAMBRIDGE, P",crossref_author_list_truncated
18,"CHALLIS, D",paper_has_no_doi
20,"FORTUNE, AE",partial_agreement: Anne E | Anne E.
21,"GHOSH, A",paper_has_no_doi
22,"GIBBS, I",paper_has_no_doi
26,"GITTELSOHN, J",paper_has_no_doi
27,"GREIF, GL",sibling_same_surname_on_paper
30,"HOLLIN, C",crossref_initials_only
31,"HOPPS, JG","papers_disagree: Hopps, June G. | Hopps, June Gary"
32,"KALYAN, M",paper_has_no_doi
33,"LEVY, QCA",paper_has_no_doi
34,"LIE, GY","papers_disagree: Lie, Gwat Yong | Lie, Gwat-Yong"
36,"LIEBMANN, M",paper_has_no_doi
40,"NADAGOUDA, SG",paper_has_no_doi
41,"SAROJA, K",paper_has_no_doi
42,"RAO, A",paper_has_no_doi
43,"NARENDER, A",paper_has_no_doi
44,"OLSEN, F",paper_has_no_doi
47,"PARMAR, YA",paper_has_no_doi
48,"RAJAGOPAL, P",paper_has_no_doi
49,"MYREDDI, V",paper_has_no_doi
50,"PRAKASAM, BS",paper_has_no_doi
53,"SINGH, A",paper_has_no_doi
56,"SOARESPEREIRA, M",paper_has_no_doi
58,"THUDIPARA, JZ",paper_has_no_doi
59,"TILAK, D",paper_has_no_doi
64,"TRISELIOTIS, J",paper_has_no_doi
65,"VIJAYALAKSHMI, B",paper_has_no_doi
66,"RAMANA, KV",paper_has_no_doi
67,"WESTCOTT, HL",paper_has_no_doi
71,"BERGER, RM",partial_agreement: Raymond M | Raymond M.
75,"BROWN, SB","papers_disagree: Brown, Selma B. | Brown, Selma Bloch"
79,"COLANGELO, CB",paper_has_no_doi
80,"COLBY, I",paper_has_no_doi
84,"DORE, MM","papers_disagree: Dore, Martha M. | Dore, Martha Morrison"
85,"EPSTEIN, BN",paper_has_no_doi
86,"HERRERIAS, C",crossref_initials_only
88,"DUNGEEANDERSON, D",partial_agreement: Delores | Delores
89,"ENGLANDER, K",orphaned_row_no_links
103,"THYER, BA",sibling_same_surname_on_paper
106,"SCHILLING, RF",two_same_surname_authors_on_paper
108,"YOUNG, D",paper_has_no_doi
111,"JOHNSON, HW","papers_disagree: Johnson, H Wayne | Johnson, H. Wayne"
121,"MOORE, S","papers_disagree: Moore, Stewart | Moore, Stuart"
122,"MOYER, HL",orphaned_row_no_links
125,"POLLARD, WL","papers_disagree: Pollard, William L. | Pollard, Willian L."
130,"RICHAN, W",partial_agreement: Will | Willard
143,"SMITH, JC",paper_has_no_doi
144,"SOWERSHOAG, K",paper_has_no_doi
145,"SPECHT, H",sibling_same_surname_on_paper
146,"STAHL, E",paper_has_no_doi
149,"TIERNEY, J",paper_has_no_doi
150,"TOBIN, SS",initials_conflict
152,"WATSON, K",partial_agreement: Ken | Kenneth
156,"WITKIN, SL",initials_conflict
157,"ATKIN, K",paper_has_no_doi
158,"ROLLINGS, J",paper_has_no_doi
161,"ROSS, MW",paper_has_no_doi
162,"WODAK, A",paper_has_no_doi
164,"GOLD, J",paper_has_no_doi
165,"BEEDELL, C",paper_has_no_doi
166,"CLEAVER, H",paper_has_no_doi
167,"COLLINGS, S",paper_has_no_doi
168,"FERGUSON, H",paper_has_no_doi
169,"GROSS, E","papers_disagree: Gross, Edward | Gross, Ellen"
170,"LAMBERT, L",paper_has_no_doi
171,"BUIST, M",paper_has_no_doi
172,"HOLMAN, B",paper_has_no_doi
174,"LYON, K",paper_has_no_doi
175,"MARSH, P",paper_has_no_doi
176,"OLIVER, JPJ",paper_has_no_doi
177,"MOHAMAD, H",paper_has_no_doi
178,"OSBORNE, SP",paper_has_no_doi
179,"PRINGLE, K",paper_has_no_doi
180,"QURESHI, H",paper_has_no_doi
181,"SHEPPARD, M",paper_has_no_doi
187,"BERRY, M","papers_disagree: Berry, Margaret | Berry, Marianne"
188,"BISSELL, HG",paper_has_no_doi
192,"EICHLER, M",paper_has_no_doi
193,"ELLIOT, N",paper_has_no_doi
196,"KOHN, A",paper_has_no_doi
198,"TURNBULL, J",paper_has_no_doi
199,"MONCHER, MS",paper_has_no_doi
201,"GERMAIN, CB",partial_agreement: Carel B | Carel B.
202,"HESS, PM",initials_conflict
203,"FOLARON, G",paper_has_no_doi
204,"JEFFERSON, AB",paper_has_no_doi
206,"WODARSKI, JS",partial_agreement: John S | John S.
207,"ISELY, BJ",paper_has_no_doi
208,"LANGFORD, CC",paper_has_no_doi
211,"KARKAL, M",paper_has_no_doi
212,"KRISHNARAJ, M",paper_has_no_doi
213,"KUDCHEDKAR, S",paper_has_no_doi
214,"LAWRENCE, H",paper_has_no_doi
216,"DAVIS, LV",initials_conflict
217,"MANI, RSS",paper_has_no_doi
218,"MARTIN, M","papers_disagree: Martin, Maria | Martin, Marsha | Martin, Mavin"
219,"MEYER, CH",partial_agreement: Carol H | Carol H.
222,"PHADKE, S",paper_has_no_doi
223,"PURVIS, GM",orphaned_row_no_links
224,"RAJAGOPALAN, M",paper_has_no_doi
225,"RAVINDRAN, K",paper_has_no_doi
226,"REDDY, GR",paper_has_no_doi
228,"MORRISON, B",paper_has_no_doi
229,"GREENBERG, R",paper_has_no_doi
232,"SATHE, SP",paper_has_no_doi
