author_id,old_name,new_name,evidence_doi,papers_checked,links
9183,LINGERFE.NB,"Lingerfelt, Neverlyn B.",10.1086/643085,1,1
9191,CHEVALIE.M,"Chevalier, Millie",10.1007/bf01558271,1,1
9219,GETTLEMA.ME,"Gettleman, Marvin E.",10.1080/00377317409516465,1,1
9226,GOLDSMIT.J,"Goldsmith, Jeff",10.1086/643193,1,1
9229,GRONEWOL.DH,"Gronewold, David H.",10.1086/643138,2,2
9241,HOKENSTA.MC,"Hokenstad, Merl C.",10.1177/104438947305401009,1,3
9244,SCHUERMA.JR,"Schuerman, John R.",10.1086/643128,1,1
9256,KEITHLUC.A,"Keith-Lucas, Alan",10.1093/sw/19.3.381,1,1
9273,MANDELBA.A,"Mandelbaum, Arthur",10.1093/sw/18.6.114,1,2
9323,RABINOVI.H,"Rabinovitz, Helene",10.1080/00377317409516473,1,1
9324,RABINOWI.HN,"Rabinowitz, Howard N.",10.1086/643094,1,1
9331,ROSENBER.ML,"Rosenberg, Marvin L.",10.1093/sw/19.3.344,1,1
9332,ROSENFEL.HM,"Rosenfeld, Herbert M.",10.1080/00377317409516463,1,2
9340,ROSENFEL.JM,"Rosenfeld, Jona M.",10.1086/643125,1,1
9341,SCHREIBE.P,"Schreiber, Paul",10.1086/642788,4,8
9342,SCHREINE.K,"Schreiner, Kathryn",10.1086/643107,1,1
9347,SHNIDERM.CM,"Shniderman, Craig M.",10.1093/sw/19.3.354,1,1
9358,OFLAHERT.K,"O'Flaherty, Kevin",10.1086/643120,1,1
9369,PARSONAG.WH,"Parsonage, William H.",10.1086/643127,1,1
9386,SILVERMA.G,"Silverman, Gerald",10.1086/643147,1,1
9389,ALEXANDE.LB,"Alexander, Leslie B.",10.1093/sw/18.4.104,2,2
9392,AMBROSIN.S,"Ambrosino, Salvatore",10.1093/sw/18.4.118,1,1
9399,BROSKOWS.A,"Broskowski, Anthony",10.1086/642930,1,1
9400,BRANDWEI.R,"Brandwein, Ruth",10.1086/642930,1,1
9476,PIZZITOL.D,"Pizzitola, Dee",10.1093/sw/18.4.94,1,1
9481,GARFINKE.I,"Garfinkel, Irwin",10.1086/642665,1,5
9493,GREENWOO.E,"Greenwood, Ernest",10.1086/642961,1,1
9501,HALLOWIT.D,"Hallowitz, David",10.1177/104438947205300711,1,1
9503,HAMMERMA.J,"Hammerman, Jerome",10.1086/642952,1,1
9508,HASELKOR.F,"Haselkorn, Florence",10.1086/643063,1,1
9512,HENLLANJ.DA,"Henllan-Jones, David A.",10.1086/643077,1,1
9560,MCCARTNE.KH,"McCartney, Kenneth H.",10.1080/00377317309516454,1,1
9589,SLASINSK.JF,"Slasinski, John F.",10.1093/sw/18.6.108,1,1
9637,SILVERST.S,"Silverstein, Sandra",10.1093/sw/18.6.105,1,1
9659,WASSERMA.H,"Wasserman, Harry",10.1080/00377317309516445,1,1
9660,WASSERMA.WG,"Wasserman, Wilma G.",10.1086/642969,1,1
9667,WHITTAKE.JK,"Whittaker, James K.",10.1086/642968,2,7
9668,WHITTING.R,"Whittington, Ronaele",10.1093/sw/18.4.101,1,1
9674,WOODROOF.K,"Woodroofe, Kathleen",10.1086/642941,1,1
9680,ZIMBALIS.SE,"Zimbalist, Sidney E.",10.1086/643034,1,2
9695,STEINBUR.TW,"Steinburn, Thomas W.",10.1086/642872,1,1
9708,SHELLHAS.LJ,"Shellhase, Leslie J.",10.1093/sw/17.4.128-a,1,1
9818,KNICKMEY.R,"Knickmeyer, Robert",10.1093/sw/17.4.58,1,1
9850,MCCORMIC.MJ,"McCormick, Mary J.",10.1086/642811,2,2
9869,FELDSTEI.DM,"Feldstein, David M.",10.1086/642871,1,1
9910,LIEBERMA.D,"Lieberman, Dina",10.1086/642876,1,1
9921,SCHOTTLA.CI,"Schottland, Charles I.",10.1093/sw/17.4.119,1,1
9933,SILVERMA.PR,"Silverman, Phyllis Rolfe",10.1086/642816,1,1
9939,SOMERVIL.DB,"Somerville, Dora B.",10.1086/642820,1,1
9982,ZIMMERMA.JH,"Zimmerman, Jerome H.",10.1086/642868,1,1
10033,DIEDERIC.TA,"Diederich, Thomas A.",10.1093/sw/16.2.100,1,1
10053,GOLDMEIE.J,"Goldmeier, John",10.1086/642677,2,2
10066,HARDCAST.DA,"Hardcastle, David A.",10.1086/642764,1,1
10081,KILPATRI.DM,"Kilpatrick, Dee Morgan",10.1086/642782,1,1
10085,KRAHENBU.V,"Krahenbuhl, Verena",10.1080/00377317109516417,1,1
10142,ROMANYSH.JM,"Romanyshyn, John M.",10.1086/642744,1,2
10143,ROSENBLA.A,"Rosenblatt, Aaron",10.1093/sw/16.2.117,2,2
10203,WOODWORT.ME,"Woodworth, Mary E.",10.1086/642746,2,2
93405,KOMAROVS.M,"Komarovsky, Mirra",10.1177/104438947105200710,1,1
93406,MCCRACKE.JM,"McCracken, James M.",10.1177/104438947105201010,1,1
93458,STERNBAC.JC,"Sternbach, Jack C.",10.1177/104438947305400603,2,2
93508,SCHAEFFE.A,"Schaeffer, Alice",10.1177/104438947205300503,1,1
93549,HERTZBER.LJ,"Hertzberg, Leonard J.",10.1177/104438947405501002,1,1
93552,RODRIGUE.R,"Rodriguez, Rodolfo",10.1177/104438947405500205,1,1
93558,KRISTENS.A,"Kristenson, Avis",10.1177/104438947205300308,1,1
93562,BRAGINSK.BM,"Braginsky, Benjamin M.",10.1177/104438947105200111,1,1
93701,HASENFEL.Y,"Hasenfeld, Yeheskel",10.1177/104438947405501011,1,1
93707,RUSSELLL.SP,"Russell-Lacy, Steven P.",10.1177/104438947305400901,1,1
93709,ORFANIDI.MM,"Orfanidis, Monica McGoldrick",10.1177/104438947205300303,1,1
93711,BLOKSBER.LM,"Bloksberg, Leonard M.",10.1177/104438947105200909,1,1
93712,ROSENBER.C,"Rosenberg, Charles",10.1177/104438947105200611,1,1
93755,CALLICUT.JW,"Callicutt, James W.",10.1177/104438947105200408,1,1
93810,SHAINLIN.A,"Shainline, Anne",10.1177/104438947405500405,1,1
93816,ROTHENBE.E,"Rothenberg, Elaine",10.1177/104438947205300612,1,1
93821,HERNANDE.A,"Hernandez, Ascension",10.1177/104438947105200514,1,1
93861,ROSENFEL.E,"Rosenfeld, Eva",10.1177/104438947405500806,1,1
93917,WALDFOGE.D,"Waldfogel, Diana",10.1177/104438947305400110,1,1
93921,GIOVANNO.J,"Giovannone, Jean",10.1177/104438947205300504,1,1
93983,WESTHEIM.R,"Westheimer, Ruth",10.1177/104438947105200210,1,1
94041,BLACKBUR.CW,"Blackburn, Clark W.",10.1177/104438947205300101,1,1
94080,SCHROEDE.LO,"Schroeder, Leila Obier",10.1177/104438947305400111,1,1
94132,HOLMSTRU.E,"Holmstrup, Elizabeth",10.1177/104438947405500905,1,1
94190,AUSLANDE.H,"Auslander, Helene",10.1177/104438947505600213,1,1
94255,SCHEUNEM.YR,"Scheunemann, Yolanda R.",10.1177/104438947405500301,1,1
94364,BRECHENS.DM,"Brechenser, Donn M.",10.1177/104438947205300306,1,1
94428,LOEWENST.SF,"Loewenstein, Sophie F.",10.1177/104438947405500105,1,1
94430,GEANAKOP.E,"Geanakoplos, Effie",10.1177/104438947305400305,1,1
94544,HIRSCHLE.H,"Hirschler, Helene",10.1177/104438947505600208,1,1
94583,ROSENBLA.D,"Rosenblatt, Daniel",10.1177/104438947405500511,1,1
94585,FESTINGE.TB,"Festinger, Trudy Bradley",10.1177/104438947305400114,1,1
94589,LIVINGST.JB,"Livingstone, John B.",10.1177/104438947305400705,1,1
94646,PARKINSO.G,"Parkinson, Geoffrey",10.1177/104438947205300109,1,1
94649,VOGELFAN.M,"Vogelfanger, Martin",10.1177/104438947205300611,1,1
94651,BIRDWHIS.RL,"Birdwhistell, Ray L.",10.1177/104438947105200912,1,1
94788,WOJCIECH.S,"Wojciechowski, Sophie",10.1177/104438947305400808,1,1
94790,DAUGHERT.WK,"Daugherty, W. Keith",10.1177/104438947205300107,1,1
94830,NEUGEBOR.B,"Neugeboren, Bernard",10.1177/104438947205300614,1,1
94858,SCHNEIDE.J,"Schneider, Jane",10.1177/104438947305400206,1,1
94908,SONDHEIM.R,"Sondheimer, Ruth",10.1177/104438947205300909,1,1
