record_id,field,current,proposed,tier,basis,evidence,title
42349,title(review),Compassionate Confinement: A Year in the Life of Unit C,"Laura S. Abrams and Ben Anderson-Nathe,
                    <i>Compassionate Confinement: A Year in the Life of Unit C</",C,doi_lookup,crossref=10.1177/1473325013510986 sim=0.72 year=match journal=match/name,Compassionate Confinement: A Year in the Life of Unit C
83585,title(review),Journal of social work practice: Group for the Advancement of Psychodynamics and Psychotherapy in Social Work,"Editorial board page for “Journal of Social Work Practice”, Volume 9, Number 2",C,doi_lookup,crossref=10.1080/02650539508415066 sim=0.407 year=match journal=match/name,Journal of social work practice: Group for the Advancement of Psychodynamics and Psychotherapy in Social Work
31696,title(review),Over my head: A doctor's own story of head injury from the inside looking out,BOOK REVIEWS,C,doi_lookup,crossref=10.1300/j010v29n02_06 sim=0.091 year=match journal=match/name,Over my head: A doctor's own story of head injury from the inside looking out
98179,journal,Journal of Social Work Education,Journal of Applied Social Science,B,doi_lookup,crossref=10.1177/1936724413476417 sim=1.0 year=match journal=mismatch/name,A Pedagogical Approach to Action Research
99721,journal,Journal of Social Work Practice,The Journal of Sociology &amp; Social Welfare,B,doi_lookup,crossref=10.15453/0191-5096.3920 sim=1.0 year=match journal=mismatch/name,Who’s left out: Characteristics of households in economic need not receiving public support
97074,journal,Social Work,Affilia,B,doi_lookup,crossref=10.1177/088610999100600404 sim=1.0 year=match journal=mismatch/name,Feminist Thinking as an Aid to Teaching Social Work Research
99486,journal,Journal of Social Work Practice,The Journal of Sociology &amp; Social Welfare,B,doi_lookup,crossref=10.15453/0191-5096.4734 sim=1.0 year=match journal=mismatch/name,Call to Action: Disability Justice as a Framework to End Punishment of and Advance Liberatory Education for Disabled Stu
99256,journal,Administration in Social Work,Journal of Religion &amp; Spirituality in Social Work: Social Thought,B,doi_lookup,crossref=10.1080/15426432.2012.647883 sim=1.0 year=match journal=mismatch/name,HIV/AIDS and Spirituality in a South African Township: A Qualitative Study
98002,journal,Journal of Social Work Education,Journal of Applied Social Science,B,doi_lookup,crossref=10.1177/19367244231220888 sim=1.0 year=match journal=mismatch/name,Peer-Led Groups in Sexual Assault Prevention Programming: Myth Adherence and Self-Defense Efficacy within Gender and Rac
55611,title(review),Editorial: The New Era of Mixed Methods,Direct quotations in social work writing: multi-functionality and double voicing,C,doi_lookup,crossref=10.1093/bjsw/bcae170 sim=0.075 year=match journal=match/name,Editorial: The New Era of Mixed Methods
96352,journal,Social Work,Affilia,B,doi_lookup,crossref=10.1177/0886109916686572 sim=1.0 year=match journal=mismatch/name,Introduction to Series on the Geography of Care for the on-the-bias column
120189,doi,oai:scholarworks.wmich.edu:jssw-4305,10.15453/0191-5096.4305,A,oai_conversion,crossref=10.15453/0191-5096.4305 sim=1.0 year=match journal=match/name,Review of <em>Inside Story: How Narratives Drive Mass Harm.</em> Lois Presser
118771,doi,oai:scholarworks.wmich.edu:jssw-2563,10.15453/0191-5096.2563,A,oai_conversion,crossref=10.15453/0191-5096.2563 sim=1.0 year=match journal=match/name,<em>Workforce Development Networks: Community Based Organizations and Regional Alliances.</em> Bennett Harrison and Marc
119907,doi,oai:scholarworks.wmich.edu:jssw-3852,10.15453/0191-5096.3852,A,oai_conversion,crossref=10.15453/0191-5096.3852 sim=1.0 year=match journal=match/name,Impact of Short Lifetime Limits on Child Neglect
118439,doi,oai:scholarworks.wmich.edu:jssw-2206,10.15453/0191-5096.2206,A,oai_conversion,crossref=10.15453/0191-5096.2206 sim=1.0 year=match journal=match/name,<em>Wheeling and Dealing: An Ethnography of an Upper-level Drug Dealing and Smuggling Community.</em> Patricia A. Adler.
