record_id,journal_name,year,current_doi,pattern,verdict,best_candidate,title_similarity,journal_verdict,author_token_overlap,collides_with_id,collides_with_title,title
116151,Global Social Work / Trabajo Social Global,2021,dc/baf2a42dfe,dc,ambiguous_candidates,10.30827/tsg-gsw.v12.25079,0.336,match,0.0,,,Escala de Valoración Sociofamiliar TSO
116177,Global Social Work / Trabajo Social Global,2021,dc/6d2be8f4c1,dc,ambiguous_candidates,10.30827/tsg-gsw.v10i19.13582,0.403,match,0.0,,,Cambios en la revista Trabajo Social Global-Global Social Work durante la crisis de la pandemia COVID-19
116206,Global Social Work / Trabajo Social Global,2021,dc/089245a434,dc,ambiguous_candidates,10.30827/tsg-gsw.v10i18.11417,0.263,match,0.0,,,Reseña del libro: Cisexismo y Salud. Algunas ideas desde otro lado
117071,ASEAN Social Work Journal,2025,dc/d77fbc869c,dc,ambiguous_candidates,10.58671/aswj.v13i1.117,0.358,match,0.0,,,Stress Management for Improved Living and Empowerment (SMILE): A Proposed Culturally Adapted Mindfulness-Based Program for Social Workers in the Philippines
117078,ASEAN Social Work Journal,2023,dc/bf505ae82f,dc,ambiguous_candidates,10.58671/aswj.v10i2.28,0.229,match,0.0,,,"Editorial Vol. 10, No. 2, December 2022"
115909,Social Work-Maatskaplike Werk,2003,dc/8b3ff306a4,dc,authors_disagree,10.15270/38-4-1430,0.941,match,0.0,,,INDIGENOUS PRACTICE: SOME INFORMED GUESSES –SELF-EVIDENT BUT IMPOSSIBLE
119928,The Journal of Sociology & Social Welfare,2015,oai:scholarworks.wmich.edu:jssw-3887,oai,candidate_not_in_crossref,10.15453/0191-5096.3887,,,,,,Understanding Fringe Economic Behavior: A Bourdieusian-informed Meta-ethnography
120119,The Journal of Sociology & Social Welfare,2018,oai:scholarworks.wmich.edu:jssw-4165,oai,candidate_not_in_crossref,10.15453/0191-5096.4165,,,,,,"Common Law, Charity, and Human Rights as Responses to the Socio-Economic Crisis in Galicia, Spain"
120226,The Journal of Sociology & Social Welfare,2021,oai:scholarworks.wmich.edu:jssw-4374,oai,candidate_not_in_crossref,10.15453/0191-5096.4374,,,,,,Development of Palestinian Social Work in Israel: The Formative Years (1968–1982)
114805,Advances in Social Work,2020,dc/8492984d69,dc,collision_needs_review,10.18060/23600,1.0,match,1.0,88020,The effect of government grants on private giving to East Asian nonprofits: Implications for social work managers,“Just a Job?” An Assessment of Precarious Employment Trajectories by Gender Among Young People in the U.S.
117167,Journal of Forensic Social Work,2013,dc/5d75f851c0,dc,digits_conflict,10.1080/1936928x.2014.909682,0.96,match,1.0,,,Letter from the Editors (5)
114614,Advances in Social Work,2020,dc/c99aa95512,dc,duplicate_of_existing_row,10.18060/23656,1.0,match,1.0,88005,An interprofessional learning opportunity regarding pain and the opioid epidemic,Interprofessional Learning Opportunity Regarding Pain and the Opioid Epidemic
114622,Advances in Social Work,2020,dc/bdccd195f3,dc,duplicate_of_existing_row,10.18060/24257,1.0,match,1.0,88012,Editorial celebrating our 20<sup>th</sup> anniversary!,Celebrating our 20th Anniversary!
114687,Advances in Social Work,2020,dc/92fa35bd4a,dc,duplicate_of_existing_row,10.18060/22622,1.0,match,1.0,88045,An Emerging Theory to Guide Clinical Social Workers Seeking Change in Regulation of Clinical Social Work,An Emerging Theory to Guide Clinical Social Workers Seeking Change in Regulation of Clinical Social Work
114793,Advances in Social Work,2020,dc/98e68e0405,dc,duplicate_of_existing_row,10.18060/22957,1.0,match,1.0,88037,"Secondary Traumatic Stress, Burnout, and Compassion Satisfaction Among Child Advocacy Interdisciplinary Team Members","Secondary Traumatic Stress, Burnout, and Compassion Satisfaction Among Child Advocacy Interdisciplinary Team Members"
114851,Advances in Social Work,2017,dc/b9af492041,dc,duplicate_of_existing_row,10.18060/21312,0.949,match,1.0,101587,Contemporary Trauma Theory and Trauma-Informed Care in Substance Use Disorders: A Conceptual Model for Integrating Copin,Trauma Theory and Trauma-Informed Care in Substance Use Disorders: A Conceptual Model for Integrating Coping and Resilience
114866,Advances in Social Work,2020,dc/7fa6868125,dc,duplicate_of_existing_row,10.18060/22606,1.0,match,1.0,88052,Creating a Tool for Assessing Domestic Violence Risk and Impact Among TANF Clients,Creating a Tool for Assessing Domestic Violence Risk and Impact Among TANF Clients
114935,Advances in Social Work,2020,dc/efd7456868,dc,duplicate_of_existing_row,10.18060/23673,0.911,match,1.0,88008,Utilizing change leadership within social work education to prioritize and expand interprofessional education in a unive,Utilizing Change Leadership Within Social Work Education to Prioritize and Expand Interprofessional Education in a University Setting
114980,Advances in Social Work,2020,dc/61b10486c1,dc,duplicate_of_existing_row,10.18060/24406,1.0,match,1.0,87996,Editorial leveraging the power of social work through interprofessional education,Leveraging the Power of Social Work through Interprofessional Education
115020,Advances in Social Work,2020,dc/8fe3e6b03b,dc,duplicate_of_existing_row,10.18060/22526,0.988,match,1.0,88035,A Survey of the Mobile Phone-Based Interventions for Violence Prevention Among Women,Survey of the Mobile Phone-Based Interventions for Violence Prevention Among Women
115024,Advances in Social Work,2020,dc/5cebcc088f,dc,duplicate_of_existing_row,10.18060/22631,1.0,match,1.0,88038,Analyzing Social Policy from a Network Perspective,Analyzing Social Policy from a Network Perspective
115031,Advances in Social Work,2020,dc/c010f40803,dc,duplicate_of_existing_row,10.18060/22609,1.0,match,1.0,88046,"Clinical Social Workers, Gender, and Perceptions of Political Participation","Clinical Social Workers, Gender, and Perceptions of Political Participation"
115072,Advances in Social Work,2020,dc/8f60d50fa9,dc,duplicate_of_existing_row,10.18060/22899,1.0,match,1.0,88032,Transformative Learning and Inclusion in a Global Social Work Course,Transformative Learning and Inclusion in a Global Social Work Course
115165,Journal of Comparative Social Work,2015,dc/94a2536f25,dc,duplicate_of_existing_row,10.31265/jcsw.v9i1.107,1.0,match,1.0,100186,Celebrating the Multiplicity of Social Work: An Invitation to a Translation Practice,Celebrating the Multiplicity of Social Work : An Invitation to a Translation Practice
115172,Journal of Comparative Social Work,2025,dc/c4ef5732f5,dc,duplicate_of_existing_row,10.31265/jcsw.v19i2.832,1.0,match,1.0,72858,Work inclusion as part of social work,Work inclusion as part of social work
115181,Journal of Comparative Social Work,2015,dc/1c048c4d31,dc,duplicate_of_existing_row,10.31265/jcsw.v9i2.118,1.0,match,1.0,100196,Questioning the Question: How can a husband rape his wife? A Discussion in an International Classroom,Questioning the Question: How can a husband rape his wife? : A Discussion in an International Classroom
115200,Journal of Comparative Social Work,2006,dc/fe8a0ccec3,dc,duplicate_of_existing_row,10.31265/jcsw.v1i1.21,1.0,match,1.0,100099,Exploring reality through new lenses: The informal essay as a an academic genre,Exploring reality through new lenses
115220,Journal of Comparative Social Work,2015,dc/e00a50e50d,dc,duplicate_of_existing_row,10.31265/jcsw.v9i1.108,1.0,match,1.0,100187,An Injured Body's Encounter With Cultural Discourses: Young Women’s Experiences of an Injured Body,An Injured Body's Encounter With Cultural Discourses : Young Women’s Experiences of an Injured Body
115225,Journal of Comparative Social Work,2015,dc/6c5be3fdf9,dc,duplicate_of_existing_row,10.31265/jcsw.v9i2.117,1.0,match,1.0,100195,Family as Raw Material: the Deconstructed Family in the Swedish Social Services,Family as Raw Material : the Deconstructed Family in the Swedish Social Services
115232,Journal of Comparative Social Work,2015,dc/dd7ab40dcc,dc,duplicate_of_existing_row,10.31265/jcsw.v9i1.109,1.0,match,1.0,100188,Service Users Facing Household Challenges: Their Experiences with Task-Centered Coping Approach,Service Users Facing Household Challenges : Their Experiences with Task-Centered Coping Approach
115245,Journal of Comparative Social Work,2015,dc/63d5caef46,dc,duplicate_of_existing_row,10.31265/jcsw.v9i1.112,1.0,match,1.0,100191,Beyond the others’ world: An essay about the experience of social work with a diagnosis of Asperger syndrome,Beyond the others’ world : An essay about the experience of social work with a diagnosis of Asperger syndrome
115246,Journal of Comparative Social Work,2025,dc/8109114cab,dc,duplicate_of_existing_row,10.31265/jcsw.v19i2.664,1.0,match,1.0,72856,Work Hazards and Social Class among ‘successful’ ALMP-Participants in Norway,Work Hazards and Social Class among ‘successful’ ALMP-Participants in Norway
115271,Journal of Comparative Social Work,2015,dc/b5b43fa79f,dc,duplicate_of_existing_row,10.31265/jcsw.v9i1.111,1.0,match,1.0,100190,Problems Facing Disabled People in Malawi: A Critical Reflection on My Encounter with a Disabled Woman in a Rural Area i,Problems Facing Disabled People in Malawi : A Critical Reflection on My Encounter with a Disabled Woman in a Rural Area in Malawi
115276,Journal of Comparative Social Work,2022,dc/70855a4673,dc,duplicate_of_existing_row,10.31265/jcsw.v16i2.490,1.0,match,1.0,100306,Special Issue on Social Work in the Time of COVID-19,Special Issue on Social Work in the Time of COVID-19
115311,Journal of Comparative Social Work,2015,dc/da7ed532cf,dc,duplicate_of_existing_row,10.31265/jcsw.v9i2.115,1.0,match,1.0,100193,Tribal and Non-tribal Agencies: A Comparison of how Social Work with Families is Conceptualized in the United States,Tribal and Non-tribal Agencies : A Comparison of how Social Work with Families is Conceptualized in the United States
