journal_id,journal_name,primary_issn,primary_container,primary_years,other_issn,other_container,other_years,other_n,sampled,kind
12,Administration in Social Work,"0364-3107,1544-4376",Administration in Social Work,1977-2013,"1542-6432,1542-6440",Journal of Religion &amp; Spirituality in Social Work: Social Thought,2004-2023,35,120,contamination
1,Social Work,"0037-8046,1545-6846",Social Work,1959-2023,"0886-1099,1552-3020",Affilia,1990-2017,27,120,contamination
2,"Studies in Clinical Social Work: Transforming Practice, Education and Research","0037-7317,1553-0426",Smith College Studies in Social Work,1935-2023,"1753-1403,1753-1411",Asian Social Work and Policy Review,2008-2023,20,120,contamination
14,Journal of Social Work Practice,"0265-0533,1465-3885",Journal of Social Work Practice,1984-2025,0191-5096,The Journal of Sociology &amp; Social Welfare,2008-2024,19,120,contamination
8,Journal of Social Work Education,"1043-7797,2163-5811",Journal of Social Work Education,1985-2025,"1936-7244,1937-0245",Journal of Applied Social Science,2011-2024,18,120,contamination
11,Journal of Gerontological Social Work,"0163-4372,1540-4048",Journal of Gerontological Social Work,1981-2025,"1053-8720,1540-4056",Journal of Gay &amp; Lesbian Social Services,1994-2006,18,120,contamination
230,Journal of Technology in Human Services,"1522-8835,1522-8991",Journal of Technology in Human Services,1999-2024,0737-5778,Social Work &amp; Christianity,2019-2024,15,120,contamination
5,Research on Social Work Practice,"1049-7315,1552-7581",Research on Social Work Practice,1991-2025,"1356-7500,1365-2206",Child &amp; Family Social Work,2000-2008,11,120,contamination
232,Sexual and Gender Diversity in Social Services,"1053-8720,1540-4056",Journal of Gay &amp; Lesbian Social Services,1996-2025,"2993-3021,2993-303X",Sexual and Gender Diversity in Social Services,2023-2025,10,120,contamination
34,Journal of Psychosocial Oncology,"0734-7332,1540-7586",Journal of Psychosocial Oncology,1983-2025,2637-5974,Journal of Psychosocial Oncology Research &amp; Practice,2021-2023,9,120,contamination
9,Social Work in Health Care,"0098-1389,1541-034X",Social Work in Health Care,1975-2024,"1748-6831,1748-684X",Journal of Comparative Social Welfare,2010-2012,8,120,contamination
10,Social Work with Groups,"0160-9513,1540-9481",Social Work With Groups,1979-2025,"1531-3204,1531-3212",Journal of Ethnic &amp; Cultural Diversity in Social Work,2000-2002,7,120,contamination
3,British Journal of Social Work,"0045-3102,1468-263X",British Journal of Social Work,1989-2025,"2165-0993,2994-9769",Asia Pacific Journal of Social Work and Development,1991-2015,4,120,contamination
