record_id,doi,year,signal,crossref_container,crossref_issn,issn_is_target,not_source_issn,container_is_target,signal_ok,title
98957,10.1080/15426432.2022.2160409,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Muslim social workers’ recommendation of parents with mental illness or intellectual disability disorders in vignettes of simulated religious court cases of cus
98958,10.1080/15426432.2022.2144587,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,The role of religion and faith on behavioral change among perpetrators of domestic violence in interventions: A literature review
98959,10.1080/15426432.2022.2127391,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,COVID-19 and spiritual well-being: implications for social work
98960,10.1080/15426432.2023.2193965,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Examining the influence of colleges’ and universities’ religious affiliation on graduate social work education in the United States
98961,10.1080/15426432.2022.2120447,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Examining policies toward adolescent pregnancies across Africa: What is the relationship between religion and education policy?
98962,10.1080/15426432.2023.2167294,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Why it matters: teaching about religion and spirituality leads to research on religion and spirituality
98963,10.1080/15426432.2022.2111395,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Islamic religiosity and subjective well-being in the west: meta-analytic evidence of protections across diverse Muslim diasporas
98964,10.1080/15426432.2022.2111396,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Faith-based social service practitioners negotiating the secular state service sector: a New Zealand context
98965,10.1080/15426432.2022.2111393,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,What are we teaching in spirituality and social work elective courses? A qualitative content analysis of BSW syllabi
98966,10.1080/15426432.2023.2208493,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,"Continuing the work: exploring intersections of religion, spirituality, and social work"
98967,10.1080/15426432.2023.2229764,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Examining religious orientation of facilities within the substance use system of care
98968,10.1080/15426432.2023.2206803,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,A scoping review of faith-based responses to human trafficking in sub-Saharan Africa
98969,10.1080/15426432.2023.2200363,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Assessing the impact of religious values on social bonds among African American adults: implications for social work practice
98970,10.1080/15426432.2022.2111392,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Coping mechanisms of students at novitiate formation
98971,10.1080/15426432.2023.2188511,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Faith Based Organizations: Types and Typologies. A Scoping Review (2010-2021)
98972,10.1080/15426432.2023.2255154,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,“It’s not about imposing what I believe or what I value”: Social workers’ personal reflections on religion and spirituality and their influence on practice
98973,10.1080/15426432.2023.2167255,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,"Religious self-regulation, self-determination, resilience, and conflict management strategies in a community sample of international Muslim students in Pakistan"
98974,10.1080/15426432.2023.2239174,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,"Response of Christian faith leaders to domestic violence: training, beliefs, and practice"
98975,10.1080/15426432.2023.2166890,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Philosophical and spiritual worldviews and professional resilience in frontline social work and human services: a scoping literature review
98976,10.1080/15426432.2023.2229621,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Faith in the social work marketplace
98977,10.1080/15426432.2023.2241846,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,"What is at the centre? Faith, social work & anarchism"
98978,10.1080/15426432.2023.2229768,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,"Forming Identities of Their Own: Gay Men Reconciling Self-love, Hurt, and the Impact of the Pentecostal Church"
98979,10.1080/15426432.2022.2130850,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Does it work? A scholastic epistemology perspective on evidence-based practice in social welfare
98980,10.1080/15426432.2022.2138681,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,"“We will not pay you, but God will remunerate”: the paradox of volunteer transcendental rewards in faith-based organizations"
98981,10.1080/15426432.2023.2223144,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Guidelines for Spiritually Informed Care for Individuals who have Experienced Sexual Abuse
98982,10.1080/15426432.2023.2265670,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,"Social work practice, religion, and faith: helping and harming; convergence and divergence"
98983,10.1080/15426432.2023.2193938,2023,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Christians in secular youth work : Harmony and tension in the expression of faith
98984,10.1080/15426432.2021.1978124,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Literature on Professional Social Work and Controversies Surrounding Roman Catholicism in the Republic of Ireland: Adapting the Dynamic Model
98985,10.1080/15426432.2021.1955427,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,“They are my family”: exploring the usage of spiritual and religious supports by survivors of intimate partner violence
98986,10.1080/15426432.2022.2111394,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,LGBTQ+ people’s religious and spiritual experiences in the COVID-19 pandemic
98987,10.1080/15426432.2021.1977761,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Forgiveness experiences of women and men in Catholic religious orders
98988,10.1080/15426432.2021.1955428,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,"Finding their way: young adults, Progressive Christianity and social work"
98989,10.1080/15426432.2022.2075580,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Spirituality in clinical practice: theory and practice of spiritually oriented psychotherapy 2nd Ed
98990,10.1080/15426432.2022.2054394,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,The use of spiritually integrated psychotherapies in mental health treatment centers
98991,10.1080/15426432.2022.2035518,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,The impact of religiosity and spirituality on health and mental health wellbeing
98992,10.1080/15426432.2022.2103060,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Psychosynthesis as a spiritual practice in clinical social work
98993,10.1080/15426432.2022.2049433,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Prevalence of intimate partner violence among Saudi Arabian international students and their spouses
98994,10.1080/15426432.2022.2135483,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Building evidence regarding the effectiveness of spiritually integrated therapies in social work practice
98995,10.1080/15426432.2022.2102102,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Integrating religion/spirituality into professional social work practice
98996,10.1080/15426432.2022.2071718,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,"War, religion, and social work"
98997,10.1080/15426432.2021.1971593,2022,prefix:10.1080,Journal of Religion &amp; Spirituality in Social Work: Social Thought,"1542-6432,1542-6440",True,True,True,True,Christianity and mental illness stigma: critical and constructive perspectives on blame and social distancing
