record_id,doi,year,crossref_container,crossref_issn,title_similarity,issn_is_affilia,container_is_affilia,prefix_is_sage,not_social_work_issn,year_agrees,title
96269,10.1177/0886109919894649,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Implementing Domestic Violence Policy: When Accountability Trumps Mission
96270,10.1177/0886109920965287,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Still We Resist: Reflections on Our Tenure as Editors-in-Chief
96271,10.1177/0886109919878273,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Campus Sexual Assault Policies: A Feminist Policy Analysis Framework
96272,10.1177/0886109920936768,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Poems in the Pandemic
96273,10.1177/0886109919872965,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,The Role of Place in the Lives of Sex Workers: A Sociospatial Analysis of Two International Case Studies
96274,10.1177/0886109920917247,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Should Journal Rankings Matter? Assigning “Prestige and Quality” in the Neoliberal Academy
96275,10.1177/0886109919873904,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Women’s Perceptions of Safety After Domestic Violence: Exploring Experiences of a Safety Contact Program
96276,10.1177/0886109919897981,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Introduction to Special Topic on Anticarceral Feminisms: Imagining a World Without Prisons
96277,10.1177/0886109919872968,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Representations of Women Subjected to Violence: A Critical Discourse Analysis of Study Guides in Social Work
96278,10.1177/0886109919897576,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,"Resisting Carcerality, Embracing Abolition: Implications for Feminist Social Work Practice"
96279,10.1177/0886109919866152,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Collisions of the Personal and the Professional: How Frontline Welfare Workers Manage Carceral Citizens
96280,10.1177/0886109919866161,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,"Sexual Assault Survivors Who Exchange Sex: Identity, Stigma, and Informal Responses From Support Providers"
96281,10.1177/0886109919889035,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Gendered Carceral Logics in Social Work: The Blurred Boundaries in Gender Equality Policies for Imprisoned and Battered Women in Spain
96282,10.1177/0886109919871266,2020,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,"We Can’t Step Back: Women Specially…A Narrative Case Study on Resilience, Independence, and Leadership of a Bhutanese Refugee Woman"
96283,10.1177/0886109919857670,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Is TANF Truly Accessible and Helpful? Victims’ Experiences With Domestic Violence Screening Under the Family Violence Option
96284,10.1177/0886109919880349,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Our House Is on Fire: Social Work and the Crisis of Immigration
96285,10.1177/0886109919866158,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Religious Coping and Challenges Among Displaced Muslim Female Refugees
96286,10.1177/0886109919857699,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Activism in Southwestern Queer and Trans Young Adults After the Marriage Equality Era
96287,10.1177/0886109919861700,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,A Green New Deal for Social Work
96288,10.1177/0886109919832005,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Digital Media as a Context for Dating Abuse: Connecting Adaptive and Maladaptive Coping Strategies to Young Adult Women’s Well-Being
96289,10.1177/0886109919847482,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,The Gender By Us® Toolkit: A Pilot Study of an Intervention to Disrupt Implicit Gender Bias
96290,10.1177/0886109919837918,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Naming White Supremacy in the Social Work Curriculum
96291,10.1177/0886109919851142,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Experiences of Economic Abuse in the Community: Listening to Survivor Voices
96292,10.1177/0886109919848750,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Invisible Practices: Interventions With Men Who Use Violence and Control
96293,10.1177/0886109918806272,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,A Women-Centric Approach: Key to Satisfaction With Agency Services
96294,10.1177/0886109919836825,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Speaking of Women’s Depression and the Politics of Emotion
96295,10.1177/0886109918806278,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,"“Mi’jita, What for?” Exploring Bicultural Identity of Latina/Chicana Faculty and Implications for Supporting Latinx Students in Social Work"
96296,10.1177/0886109918818078,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,"Gender, Everyday Resistance and Bodily Integrity: Women’s Lives on Delhi Streets"
96297,10.1177/0886109918803646,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Reproductive Justice and the Social Work Profession: Common Grounds and Current Trends
96298,10.1177/0886109918796241,2019,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Claiming Space: Implications of Girls’ Access to Space in a Haitian Residential Care Facility
96299,10.1177/0886109918766659,2018,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Family Mediation in Child Custody Cases and the Concealment of Domestic Violence
96300,10.1177/0886109918778075,2018,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Survivor or Laborer: How Human Service Managers Perceive Sex Workers?
96301,10.1177/0886109918802668,2018,Affilia,"0886-1099,1552-3020",0.75,True,True,True,True,True,"Corrigendum to: The power of money in gender relations from a Chilean mining culture., (Affilia: Journal of Women and Social Work, (2017), 32, (344–358), 10.1177/0886109916689784)"
96302,10.1177/0886109918778064,2018,Affilia,"0886-1099,1552-3020",1.0,True,True,True,True,True,Long-Term Housing and Intimate Partner Violence: Journeys to Healing
