record_id,doi,year,signal,crossref_container,crossref_issn,issn_is_target,not_source_issn,container_is_target,signal_ok,title
97433,10.1080/02185385.2017.1392891,2017,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"0218-5385,2165-0993",True,True,True,True,Seeking skilled care workers: political explanations for Japan’s emergent structure of care work migration
97434,10.1080/02185385.2017.1368412,2017,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"2165-0993,2994-9769",True,True,True,True,Caring practices of marriage migrant women in Korea
97435,10.1080/02185385.2017.1335228,2017,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"0218-5385,2165-0993",True,True,True,True,"Child learning and family mealtime environment, parenting style and family functioning among preschoolers in Hong Kong"
97436,10.1080/02185385.2017.1339290,2017,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"0218-5385,2165-0993",True,True,True,True,"Changes in attitude towards people with mental illness in P-city, S. Korea: a comparison between the years 2000 and 2010"
97437,10.1080/02185385.2017.1331459,2017,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"2165-0993,2994-9769",True,True,True,True,Impact of job characteristics on turnover intention and the mediating effects of job satisfaction: experiences of home visiting geriatric care workers in Korea
97438,10.1080/02185385.2017.1342099,2017,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"2165-0993,2994-9769",True,True,True,True,The capability approach to the wellbeing of poor adolescents: a Taiwanese case study
97439,10.1080/02185385.2017.1289860,2017,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"2165-0993,2994-9769",True,True,True,True,"Risk factors of NEET (Not in Employment, Education or Training) in South Korea: an empirical study using panel data"
97440,10.1080/02185385.2016.1275981,2017,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"2165-0993,2994-9769",True,True,True,True,Culture and context in Chinese field supervision: a case study from Shanghai
97441,10.1080/02185385.2017.1310054,2017,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"2165-0993,2994-9769",True,True,True,True,A comparative study of social assistance systems in Macao and Hong Kong
97442,10.1080/02185385.2016.1261732,2017,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"2165-0993,2994-9769",True,True,True,True,The trajectory of life satisfaction and its associated factors among adolescents in South Korea
97443,10.1080/02185385.2016.1234970,2016,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"0218-5385,2165-0993",True,True,True,True,"Pacific epistemologies in professional social work practice, policy and research"
97444,10.1080/02185385.2016.1253498,2016,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"0218-5385,2165-0993",True,True,True,True,The validity and reliability of a Turkish version of the Poverty-Related Quality of Life (PQoL) questionnaire
97445,10.1080/02185385.2016.1237375,2016,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"0218-5385,2165-0993",True,True,True,True,An integrated system of engaging social workers and community volunteers in social care for the elderly: case studies in Taiwan
97446,10.1080/02185385.2016.1267909,2016,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"2165-0993,2994-9769",True,True,True,True,"Erratum to: Editorial (Asia Pacific Journal of Social Work and Development, (2016), 26, (61-63), 10.1080/02185385.2016.1226474)"
97447,10.1080/02185385.2016.1261733,2016,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"2165-0993,2994-9769",True,True,True,True,Community older adults’ attitude towards the use of assistive devices
97448,10.1080/02185385.2016.1201432,2016,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"0218-5385,2165-0993",True,True,True,True,The welfare service practitioners’ perception of their power position in the user participation imperative
97449,10.1080/02185385.2016.1199324,2016,prefix:10.1080,Asia Pacific Journal of Social Work and Development,"2165-0993,2994-9769",True,True,True,True,Social exclusion in Ulaanbaatar city Mongolia
