record_id,doi,series,year,crossref_container,crossref_issn,series_is_J041,issn_is_glss,not_gerontological_issn,container_is_glss,year_in_glss_era,crossref_years,title
98548,10.1300/j041v17n04_01,J041,2006,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Mental health problems and use of services of lesbians: Results of the Boston lesbian health project II
98549,10.1300/j041v17n04_05,J041,2006,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",The intention and reflection model Gay Male Therapist self-disclosure and identity management
98550,10.1300/j041v17n04_02,J041,2006,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008","Evaluation of the Anytown Leadership Institute programming on lesbian, gay, bisexual and transgender issues"
98551,10.1300/j041v17n04_04,J041,2006,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Barebacking and challenges to therapeutic neutrality
98552,10.1300/j041v17n04_03,J041,2006,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Gay and lesbian youth in foster care: Meeting their placement and service needs
98553,10.1300/j041v17n03_04,J041,2005,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",The views of social work students toward gay and lesbian persons: Are they different from other undergraduate students?
98554,10.1300/j041v17n03_02,J041,2005,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Normative passing in the lesbian community: An exploratory study
98555,10.1300/j041v17n03_03,J041,2005,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",The prison lesbian revisited
98556,10.1300/j041v17n03_01,J041,2005,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",Monogamy of the heart: Extradyadic sex and gay male couples
98557,10.1300/j041v17n03_05,J041,2005,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",A missing voice: Asians in contemporary gay and lesbian social service literature
98559,10.1300/j041v16n02_03,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008","Gay, old, and poor: Service delivery to aging gay men in inner city Sydney, Australia"
98560,10.1300/j041v16n03_11,J041,2003,Journal of Gay &amp; Lesbian Social Services,"1053-8720,1540-4056",True,True,True,True,True,"2004,2008",‘Trans’ cending barriers: Transgender organizing on the internet
