record_id,doi,year,signal,crossref_container,crossref_issn,issn_is_target,not_source_issn,container_is_target,signal_ok,title
99465,10.15453/0191-5096.4671,2024,prefix:10.15453,The Journal of Sociology &amp; Social Welfare,0191-5096,True,True,True,True,Which Side (of the Balance Sheet) Are You On? Household Financial Resources and Participation in the 2020 Protests
99466,10.15453/0191-5096.4746,2024,prefix:10.15453,The Journal of Sociology &amp; Social Welfare,0191-5096,True,True,True,True,Can Workers and Their Families Live on a Living Wage?
99468,10.15453/0191-5096.4753,2024,prefix:10.15453,The Journal of Sociology &amp; Social Welfare,0191-5096,True,True,True,True,Teaching About Black Adolescents’ Exposure to Trauma: A Mixed Methods Study
99469,10.15453/0191-5096.4653,2024,prefix:10.15453,The Journal of Sociology &amp; Social Welfare,0191-5096,True,True,True,True,Towards Addressing Poverty and Inequality in Nigeria: Rethinking Social Protection Strategies
99471,10.15453/0191-5096.4719,2024,prefix:10.15453,The Journal of Sociology &amp; Social Welfare,0191-5096,True,True,True,True,Diverging from Conventional Autism Research Through Meaningfully Including an Adult Autism Community: Processes of Engaging Ottawa’s Adult Autism Community in C
99473,10.15453/0191-5096.4698,2024,prefix:10.15453,The Journal of Sociology &amp; Social Welfare,0191-5096,True,True,True,True,"Well-being and Indigenous Aymara Orphans in Perú: An Empirical Study at Hogar de Niñas Virgen de Fatima de Chejoña, Puno"
99474,10.15453/0191-5096.4718,2024,prefix:10.15453,The Journal of Sociology &amp; Social Welfare,0191-5096,True,True,True,True,Arab refugees with physical disabilities: An exploration of barriers within the resettlement process
99475,10.15453/0191-5096.4730,2024,prefix:10.15453,The Journal of Sociology &amp; Social Welfare,0191-5096,True,True,True,True,Anti-Ableist and Disability Justice Pedagogies in Social Work Education
99477,10.15453/0191-5096.4717,2024,prefix:10.15453,The Journal of Sociology &amp; Social Welfare,0191-5096,True,True,True,True,Global Deaf and Disability-Led Partnerships for Accessible Emergency Response and Humanitarian Action
99479,10.15453/0191-5096.4723,2024,prefix:10.15453,The Journal of Sociology &amp; Social Welfare,0191-5096,True,True,True,True,Getting to Disability Justice: A Critical Conceptual Review of Disability Models in U.S. Social Work
