record_id,doi,year,signal,crossref_container,crossref_issn,issn_is_target,not_source_issn,container_is_target,signal_ok,title
97115,10.1111/aswp.12282,2023,prefix:10.1111,Asian Social Work and Policy Review,"1753-1403,1753-1411",True,True,True,True,Social work for vulnerable and marginalized people during COVID-19 in Japan
97116,10.1111/aswp.12287,2023,prefix:10.1111,Asian Social Work and Policy Review,"1753-1403,1753-1411",True,True,True,True,Dynamics of domestic violence in Kashmir: An interplay of multiple factors
97117,10.1111/aswp.12284,2023,prefix:10.1111,Asian Social Work and Policy Review,"1753-1403,1753-1411",True,True,True,True,Kazakhstan's implementation of international conventions on the protection of children's rights (juvenile responsibility)
97118,10.1111/aswp.12283,2023,prefix:10.1111,Asian Social Work and Policy Review,"1753-1403,1753-1411",True,True,True,True,Effect of child benefit payments on child outcome expenditures in South Korea
97119,10.1111/aswp.12286,2023,prefix:10.1111,Asian Social Work and Policy Review,"1753-1403,1753-1411",True,True,True,True,COVID-19 pandemic and the determinants of depressive symptoms among senior citizens of India: An empirical investigation
97120,10.1111/aswp.12285,2023,prefix:10.1111,Asian Social Work and Policy Review,"1753-1403,1753-1411",True,True,True,True,The homeless of urban India under COVID-19 lockdown: Rethinking their rights and the role of public policy
97121,10.1111/aswp.12275,2023,prefix:10.1111,Asian Social Work and Policy Review,"1753-1403,1753-1411",True,True,True,True,Bringing Indonesia into the global welfare regime debate: A literature review and future research agenda
97122,10.1111/aswp.12271,2023,prefix:10.1111,Asian Social Work and Policy Review,"1753-1403,1753-1411",True,True,True,True,Longitudinal causal relationship between depression and self-esteem in Korean older adults
97123,10.1111/aswp.12277,2023,prefix:10.1111,Asian Social Work and Policy Review,"1753-1403,1753-1411",True,True,True,True,"Employment status, material hardship, and mental health among low-income working-age adults in South Korea"
97124,10.1111/aswp.12279,2023,prefix:10.1111,Asian Social Work and Policy Review,"1753-1403,1753-1411",True,True,True,True,Who is my family?: A comparative study of the family boundary in East Asia
