journal_id,name,current_print,current_online,issn_print,issn_online,method,n_votes,sampled,agreement,tier,crossref_container
2,"Studies in Clinical Social Work: Transforming Practice, Education and Research",,,0037-7317,1553-0426,vote,96,120,0.8,A,Smith College Studies in Social Work
3,British Journal of Social Work,,,0045-3102,1468-263X,vote,113,119,0.95,A,British Journal of Social Work
4,Indian Journal of Social Work,,,0019-5634,2456-7809,vote,82,82,1.0,A,The Indian Journal of Social Work
5,Research on Social Work Practice,,,1049-7315,1552-7581,vote,109,120,0.908,A,Research on Social Work Practice
6,Social Service Review,,,0037-7961,1537-5404,vote,120,120,1.0,A,Social Service Review
7,Clinical Social Work Journal,,,0091-1674,1573-3343,vote,120,120,1.0,A,Clinical Social Work Journal
8,Journal of Social Work Education,,,1043-7797,2163-5811,vote,101,120,0.842,A,Journal of Social Work Education
9,Social Work in Health Care,,,0098-1389,1541-034X,vote,104,113,0.92,A,Social Work in Health Care
10,Social Work with Groups,,,0160-9513,1540-9481,vote,112,120,0.933,A,Social Work With Groups
11,Journal of Gerontological Social Work,,,0163-4372,1540-4048,vote,101,120,0.842,A,Journal of Gerontological Social Work
13,Journal of Social Work in End-Of-Life & Palliative Care,,,1552-4256,1552-4264,vote,117,120,0.975,A,Journal of Social Work in End-of-Life &amp; Palliative Care
14,Journal of Social Work Practice,,,0265-0533,1465-3885,vote,101,120,0.842,A,Journal of Social Work Practice
15,International Social Work,,,0020-8728,1461-7234,vote,120,120,1.0,A,International Social Work
16,Australian Social Work,,,0312-407X,1447-0748,vote,120,120,1.0,A,Australian Social Work
17,Affilia-Feminist Inquiry in Social Work,,,0886-1099,1552-3020,vote,120,120,1.0,A,Affilia
19,Journal of Teaching in Social Work,,,0884-1233,1540-7349,vote,119,119,1.0,A,Journal of Teaching in Social Work
20,International Journal of Social Welfare,,,1369-6866,1468-2397,vote,109,120,0.908,A,International Journal of Social Welfare
21,Journal of Human Behavior in the Social Environment,,,1091-1359,1540-3556,vote,119,120,0.992,A,Journal of Human Behavior in the Social Environment
22,Child & Family Social Work,,,1356-7500,1365-2206,vote,116,120,0.967,A,Child &amp; Family Social Work
23,Social Work in Mental Health,,,1533-2985,1533-2993,vote,117,120,0.975,A,Social Work in Mental Health
24,Journal of HIV-AIDS & Social Services,,,1538-1501,1538-151X,vote,117,120,0.975,A,Journal of HIV/AIDS &amp; Social Services
25,Journal of Social Service Research,,,0148-8376,1540-7314,vote,119,120,0.992,A,Journal of Social Service Research
28,European Journal of Social Work,,,1369-1457,1468-2664,vote,120,120,1.0,A,European Journal of Social Work
29,Social Work Education,,,0261-5479,1470-1227,vote,120,120,1.0,A,Social Work Education
30,Journal of Progressive Human Services,,,1042-8232,1540-7616,vote,103,103,1.0,A,Journal of Progressive Human Services
31,Social Work in Public Health,,,1937-190X,1937-1918,vote,120,120,1.0,A,Social Work in Public Health
32,Health & Social Work,,,0360-7283,1545-6854,vote,120,120,1.0,A,Health &amp; Social Work
33,Journal of Ethnic & Cultural Diversity in Social Work,,,1531-3204,1531-3212,vote,120,120,1.0,A,Journal of Ethnic &amp; Cultural Diversity in Social Work
34,Journal of Psychosocial Oncology,,,0734-7332,1540-7586,vote,110,119,0.924,A,Journal of Psychosocial Oncology
35,Journal of Family Social Work,,,1052-2158,1540-4072,vote,119,120,0.992,A,Journal of Family Social Work
36,Journal of Community Practice,,,1070-5422,1543-3706,vote,120,120,1.0,A,Journal of Community Practice
37,Qualitative Social Work,,,1473-3250,1741-3117,vote,120,120,1.0,A,Qualitative Social Work
38,China Journal of Social Work,,,1752-5098,1752-5101,vote,120,120,1.0,A,China Journal of Social Work
39,Journal of the Society for Social Work and Research,,,1948-822X,2334-2315,vote,120,120,1.0,A,Journal of the Society for Social Work and Research
40,Journal of Social Work Practice in the Addictions,,,1533-256X,1533-2578,vote,120,120,1.0,A,Journal of Social Work Practice in the Addictions
41,Journal of Social Work,,,1468-0173,1741-296X,vote,120,120,1.0,A,Journal of Social Work
42,Psychoanalytic Social Work,,,1522-8878,1522-9033,vote,120,120,1.0,A,Psychoanalytic Social Work
43,Social Work Research,1070-5309,1545-6838,1070-5309,1545-6838,vote,112,120,0.933,A,Social Work Research
45,Ethics & Social Welfare,,,1749-6535,1749-6543,vote,117,120,0.975,A,Ethics and Social Welfare
46,Journal of Social Work in Disability & Rehabilitation,,,1536-710X,1536-7118,vote,119,120,0.992,A,Journal of Social Work in Disability &amp; Rehabilitation
47,Social Work & Social Sciences Review,,,0953-5225,1746-6105,vote,18,18,1.0,A,Social Work and Social Sciences Review
52,Asian Social Work and Policy Review,,,1753-1403,1753-1411,vote,42,42,1.0,A,Asian Social Work and Policy Review
58,Critical and Radical Social Work,,,2049-8608,2049-8675,vote,119,120,0.992,A,Critical and Radical Social Work
61,Southern African Journal of Social Work and Social Development,,,2520-0097,2708-9355,vote,90,91,0.989,A,Southern African Journal of Social Work and Social Development
63,Asia Pacific Journal of Social Work and Development,,,2165-0993,2994-9769,vote,115,120,0.958,A,Asia Pacific Journal of Social Work and Development
68,Journal of Human Rights and Social Work,,,2365-1792,,vote,120,120,1.0,A,Journal of Human Rights and Social Work
69,Nordic Social Work Research,,,2156-857X,2156-8588,vote,120,120,1.0,A,Nordic Social Work Research
102,Urban Social Work,,,2474-8684,2474-8692,vote,109,109,1.0,A,Urban Social Work
128,African Journal of Social Work,,,1563-3934,2409-5605,vote,59,59,1.0,A,African Journal of Social Work
130,Journal of Comparative Social Work,,,0809-9936,,vote,120,120,1.0,A,Journal of Comparative Social Work
196,Child & Adolescent Social Work Journal,,,0738-0151,1573-2797,vote,115,120,0.958,A,Child and Adolescent Social Work Journal
212,Social Work Research & Abstracts,,,0148-0847,,vote,120,120,1.0,A,Social Work Research and Abstracts
213,Children & Schools,,,1532-8759,1545-682X,vote,120,120,1.0,A,Children &amp; Schools
218,Columbia Social Work Review,,2164-1250,2164-1250,2372-255X,vote,32,32,1.0,A,Columbia Social Work Review
219,Critical Social Work,,,1543-9372,,vote,120,120,1.0,A,Critical Social Work
222,Advances in Social Work,,,1527-8565,2331-4125,vote,117,120,0.975,A,Advances in Social Work
224,Journal of Religion & Spirituality in Social Work,,,1542-6432,1542-6440,vote,115,115,1.0,A,Journal of Religion &amp; Spirituality in Social Work: Social Thought
225,The Journal of Baccalaureate Social Work,,,1084-7219,,vote,118,118,1.0,A,Journal of Baccalaureate Social Work
232,Sexual and Gender Diversity in Social Services,,,1053-8720,1540-4056,vote,109,119,0.916,A,Journal of Gay &amp; Lesbian Social Services
234,Abolitionist Perspectives in Social Work,,,2832-1154,,vote,13,13,1.0,A,Abolitionist Perspectives in Social Work
